,dataset,d,n_train,test_size,seed,accuracy,brier,balanced,device
114,iris_class0_vs_class2,2,4,0.1,8,1.0,0.11340750157833099,True,ibmq_qasm_simulator
115,iris_class0_vs_class2,3,8,0.1,8,1.0,0.14505551755428314,True,ibmq_qasm_simulator
116,iris_class0_vs_class2,0,1,0.1,9,0.4,0.30171588212251665,False,ibmq_qasm_simulator
117,iris_class0_vs_class2,1,2,0.1,9,1.0,0.12701852470636368,True,ibmq_qasm_simulator
118,iris_class0_vs_class2,2,4,0.1,9,1.0,0.1264778569340706,True,ibmq_qasm_simulator
119,iris_class0_vs_class2,3,8,0.1,9,1.0,0.11936909109354019,True,ibmq_qasm_simulator
120,iris_class1_vs_class2,0,1,0.1,0,0.3,0.643773190677166,False,ibmq_qasm_simulator
121,iris_class1_vs_class2,1,2,0.1,0,0.7,0.2022715061903,True,ibmq_qasm_simulator
122,iris_class1_vs_class2,2,4,0.1,0,0.7,0.20168309658765793,True,ibmq_qasm_simulator
123,iris_class1_vs_class2,3,8,0.1,0,0.7,0.2227398470044136,True,ibmq_qasm_simulator
124,iris_class1_vs_class2,0,1,0.1,1,0.6,0.27100647389888766,False,ibmq_qasm_simulator
125,iris_class1_vs_class2,1,2,0.1,1,0.2,0.2538121685385704,True,ibmq_qasm_simulator
126,iris_class1_vs_class2,2,4,0.1,1,0.5,0.2398675799369812,True,ibmq_qasm_simulator
127,iris_class1_vs_class2,3,8,0.1,1,0.8,0.22128224074840547,True,ibmq_qasm_simulator
128,iris_class1_vs_class2,0,1,0.1,2,0.6,0.36159114688634875,False,ibmq_qasm_simulator
129,iris_class1_vs_class2,1,2,0.1,2,0.2,0.259824101626873,True,ibmq_qasm_simulator
130,iris_class1_vs_class2,2,4,0.1,2,0.3,0.2566571518778801,True,ibmq_qasm_simulator
131,iris_class1_vs_class2,3,8,0.1,2,0.3,0.2621013358235359,True,ibmq_qasm_simulator
132,iris_class1_vs_class2,0,1,0.1,3,0.7,0.29403507709503174,False,ibmq_qasm_simulator
133,iris_class1_vs_class2,1,2,0.1,3,0.5,0.25021219104528425,True,ibmq_qasm_simulator
134,iris_class1_vs_class2,2,4,0.1,3,0.6,0.24911342710256576,True,ibmq_qasm_simulator
135,iris_class1_vs_class2,3,8,0.1,3,0.6,0.24098495095968248,True,ibmq_qasm_simulator
136,iris_class1_vs_class2,0,1,0.1,4,0.8,0.19512333422899247,False,ibmq_qasm_simulator
